Year	Month	Day	TempMax	TempAvg	TempMin	HumMax	HumAvg	HumMin	WindMax	WindAvg	WindMin	PresMax	PresAvg	PresMin
2016	11	29	7,78	5,61	1,11	93,0	81,5	66,0	7,15	4,69	2,68	30,3	30,3	30,2
2016	11	30	10	8	3,89	87,0	78,9	71,0	8,05	6,12	3,58	30,3	30,2	30,2
2016	12	1	10	5,44	1,11	100,0	84	58,0	3,58	2,37	0	30,2	30,2	30,1
2016	12	2	10	4,61	2,22	100,0	83,9	62,0	5,81	2,82	0,45	30,1	30,1	30
2016	12	3	8,89	7,11	2,22	100,0	88,3	76,0	7,15	3,89	0,45	30	29,8	29,6
2016	12	4	7,78	5,44	2,22	93,0	83,2	66,0	5,36	2,5	0,89	29,6	29,5	29,5
2016	12	5	7,22	5,17	3,89	81,0	69,4	61,0	5,81	3,35	1,34	29,7	29,7	29,6
2016	12	6	7,78	5,33	0	93,0	73,6	66,0	5,36	3,35	0,45	29,9	29,8	29,7
2016	12	7	7,22	4,78	1,11	93,0	72,6	61,0	4,02	2,15	0,45	29,9	29,9	29,8
2016	12	8	5	3,28	1,11	87,0	77,5	61,0	4,02	1,83	0,45	29,8	29,6	29,4
2016	12	9	3,89	2,94	1,11	100,0	88,7	81,0	3,13	1,65	0	29,4	29,4	29,4
2016	12	10	7,78	3,33	-1,11	100,0	87,1	66,0	4,47	2,28	0	29,8	29,5	29,3
2016	12	11	8,89	3,61	-2,78	100,0	85,7	71,0	6,71	2,41	0	29,9	29,8	29,6
2016	12	12	11,11	8,22	2,22	100,0	86,6	76,0	8,94	4,25	1,34	30	29,7	29,5
2016	12	13	11,11	6,94	2,22	100,0	91,1	87,0	6,71	3,93	0,45	30,1	30,1	30
2016	12	14	15	13,61	12,22	94,0	89,9	88,0	8,94	6,48	4,02	30	30	29,9
2016	12	15	13,89	10,5	7,78	88,0	79,7	71,0	9,39	6,21	2,68	30	29,9	29,7
2016	12	16	10	6,89	2,78	93,0	82,2	66,0	10,28	7,42	3,58	29,7	29,5	29,4
2016	12	17	5	3,44	1,11	100,0	89,4	81,0	8,05	4,29	0,89	29,3	29	28,9
2016	12	18	5	1,67	0	100,0	91,8	81,0	5,36	2,86	0,89	29,2	29	28,9
2016	12	19	6,11	0,89	-3,89	100,0	91,4	76,0	5,36	2,64	0	29,2	29,2	29,1
2016	12	20	2,22	-0,22	-3,89	100,0	93,8	87,0	3,13	1,56	0	29,4	29,2	29,1
2016	12	21	6,11	0,72	-2,22	100,0	90,8	70,0	8,05	3,44	0,89	29,5	29,4	29,3
2016	12	22	7,22	4,33	-1,11	93,0	82,1	71,0	7,6	3,76	0,89	29,8	29,5	29,3
2016	12	23	6,11	-1,06	-5	100,0	91,5	70,0	2,24	0,89	0	30,3	30,1	29,8
2016	12	24	5	-2,94	-7,22	100,0	92,5	70,0	2,24	0,85	0	30,3	30,3	30,2
2016	12	25	5	-0,33	-6,11	100,0	90,9	81,0	5,36	2,15	0,45	30,3	30,2	30,1
2016	12	26	7,22	2,22	-2,78	100,0	95,8	87,0	4,02	1,34	0,45	30,1	30,1	30
2016	12	27	7,78	5,22	1,11	100,0	85,9	71,0	5,81	1,74	0	30,3	30,3	30,1
2016	12	28	7,22	2,56	0	100,0	89,3	66,0	2,68	1,07	0	30,4	30,4	30,3
2016	12	29	7,78	5,61	1,11	93,0	81,5	66,0	7,15	4,69	2,68	30,3	30,3	30,2
2016	12	30	10	8	3,89	87,0	78,9	71,0	8,05	6,12	3,58	30,3	30,2	30,2
2017	1	1	6,11	3,17	0	87,0	76,9	65,0	5,81	2,68	0,45	30,3	30,1	29,9
2017	1	2	5	0,78	-2,78	93,0	84,5	70,0	5,81	3,44	0,89	30,3	30,3	30,1
2017	1	3	7,78	6,72	2,78	93,0	85	76,0	9,39	6,48	3,13	30,1	30	29,9
2017	1	4	6,11	3,39	-1,11	87,0	69,4	49,0	5,36	2,46	0,45	30,4	30,2	30
2017	1	5	5	-0,72	-6,11	93,0	83,2	70,0	5,36	1,65	0	30,4	30,3	30,2
2017	1	6	11,11	8,06	5	100,0	88,6	76,0	6,71	3,84	0,89	30,2	30,1	30,1
2017	1	7	8,89	7,67	2,78	100,0	93,2	87,0	5,36	2,77	0,45	30,3	30,3	30,2
2017	1	8	10	8,94	6,11	100,0	87,9	82,0	7,6	4,29	0,89	30,2	30,2	29,9
2017	1	9	11,11	6,72	3,89	93,0	85,7	81,0	10,73	8,14	5,36	29,9	29,6	29,3
2017	1	10	8,89	7,22	3,89	93,0	82,2	71,0	11,62	7,02	5,36	29,5	29,4	29,2
2017	1	11	11,11	5,17	2,22	87,0	74,5	57,0	14,31	8,63	3,58	29,5	29,4	29,2
2017	1	12	2,22	0,83	-1,11	93,0	86,8	81,0	8,05	5,05	0,89	29,5	29,3	29,2
2017	1	13	3,89	1,33	-2,78	87,0	73	56,0	8,05	4,29	2,24	29,8	29,6	29,3
2017	1	14	5	1,28	-2,22	100,0	85,7	65,0	4,02	2,59	0,45	30	29,9	29,8
2017	1	15	10	8,06	3,89	100,0	93	87,0	5,36	3,04	1,34	30,1	30	29,9
2017	1	16	10	8,28	6,11	100,0	92,8	87,0	4,47	3,04	1,34	30,2	30,1	30,1
2017	1	17	11,11	9,56	7,78	100,0	91,6	87,0	6,26	4,07	2,68	30,4	30,3	30,2
2017	1	18	8,89	8,11	7,78	93,0	82,3	76,0	6,71	4,83	3,13	30,4	30,4	30,3
2017	1	19	8,89	7,72	7,22	87,0	77,4	71,0	5,81	3,89	3,13	30,4	30,4	30,4
2017	1	20	7,22	4,72	1,11	100,0	89,2	81,0	4,47	2,55	0,45	30,4	30,4	30,3
2017	1	21	2,78	0,44	-3,89	100,0	96,7	87,0	2,24	0,8	0	30,3	30,2	30,1
2017	1	22	2,78	2,44	1,11	100,0	94,8	93,0	4,02	1,88	0	30,1	30,1	30,1
2017	1	23	6,11	3,28	-2,22	93,0	85,9	66,0	6,26	2,77	0,89	30,1	30,1	30
2017	1	24	10	8,61	5	87,0	83,6	76,0	8,94	6,08	3,13	30	29,9	29,9
2017	1	25	10	8,28	3,89	82,0	75,6	66,0	10,73	6,71	2,24	29,9	29,9	29,9
2017	1	26	6,11	0,06	-5	100,0	80	56,0	4,47	1,52	0	29,9	29,8	29,7
2017	1	27	6,11	-0,5	-7,22	93,0	81,6	61,0	4,47	1,43	0,45	29,7	29,6	29,5
2017	1	28	2,78	2,5	1,11	100,0	93,6	81,0	5,81	2,46	0	29,6	29,5	29,4
2017	1	29	7,22	2	-3,89	100,0	88,9	71,0	5,81	2,46	0,45	29,6	29,6	29,6
2017	1	30	7,22	1,61	-5	100,0	87,7	70,0	5,36	2,28	0	29,7	29,7	29,6
2017	1	31	10	7,22	3,89	100,0	86	76,0	5,81	3,13	0,45	29,6	29,6	29,5
2017	2	1	11,11	6,33	2,22	100,0	89,7	76,0	5,36	2,24	0,45	29,6	29,4	29,2
2017	2	2	12,78	10,5	7,22	87,0	75,9	67,0	11,62	5,63	1,34	29,2	29	28,8
2017	2	3	10	8,17	7,22	87,0	76,9	62,0	10,28	5,36	1,34	29,1	29	28,8
2017	2	4	7,78	5,06	2,78	93,0	82,6	70,0	8,94	5,36	0,89	29,3	29,1	28,9
2017	2	5	6,11	3,22	-1,11	100,0	83,6	75,0	4,47	2,01	0	29,8	29,5	29,3
2017	2	6	7,22	1,61	-5	100,0	85,1	66,0	6,71	3	0	29,9	29,7	29,6
2017	2	7	5	3,39	2,78	100,0	93,6	76,0	3,58	1,7	0,89	30	29,7	29,6
2017	2	8	6,11	3,61	2,22	100,0	86,1	70,0	4,47	2,41	0,45	30,3	30,2	30,1
2017	2	9	3,89	2,5	1,11	87,0	78,3	61,0	4,47	3,31	1,34	30,3	30,3	30,3
2017	2	10	2,78	1,44	0	93,0	87,6	75,0	5,81	2,46	0,45	30,4	30,3	30,3
2017	2	11	5	3,06	1,11	93,0	84,8	75,0	10,28	6,62	2,68	30,4	30,4	30,3
2017	2	12	3,89	3,44	2,78	93,0	78,1	65,0	11,18	8,99	7,15	30,4	30,4	30,3
2017	2	13	6,11	4,83	3,89	87,0	85,4	81,0	9,39	6,71	4,02	30,4	30,3	30,2
2017	2	14	8,89	5,61	2,78	93,0	81,9	66,0	7,15	4,16	0,89	30,2	30,1	30,1
2017	2	15	10	6,78	3,89	93,0	88,5	76,0	7,15	2,5	0	30,1	30	29,9
2017	2	16	10	8,11	3,89	93,0	83,8	76,0	9,83	6,8	2,68	30,1	30	29,9
2017	2	17	10	5,67	-1,11	100,0	88,9	76,0	3,58	1,79	0,45	30,1	30,1	30
2017	2	18	11,11	9,72	7,78	94,0	84,1	81,0	8,94	6,39	2,68	30	29,8	29,8
2017	2	19	11,11	9,67	7,78	94,0	87,9	82,0	8,05	6,75	5,36	29,9	29,8	29,7
2017	2	20	12,78	10,44	7,22	94,0	79,1	66,0	12,96	7,87	5,81	29,7	29,7	29,6
2017	2	21	12,22	8,22	5	94,0	82,4	71,0	11,18	7,47	3,13	29,7	29,5	29,2
2017	2	22	8,89	6,28	3,89	87,0	73,3	54,0	9,83	6,3	0,89	29,4	29,3	29,3
2017	2	23	5	2,67	1,11	100,0	91,7	81,0	11,18	5,28	0,89	29,5	29,1	28,8
2017	2	24	7,22	3,94	-1,11	93,0	83,4	66,0	9,39	4,56	2,24	29,8	29,7	29,5
2017	2	25	12,22	8,28	3,89	94,0	82,8	71,0	13,86	7,42	2,68	29,5	29,3	29,2
2017	2	26	10	6,61	2,78	93,0	82,9	76,0	12,96	7,78	2,68	29,4	29,1	28,9
2017	2	27	6,11	3,39	0	93,0	77,9	61,0	7,15	3,44	0,45	29	28,9	28,8
2017	2	28	7,78	2,06	-2,78	100,0	80,3	57,0	4,47	2,46	0,45	29,1	28,9	28,8
2017	3	1	7,78	2,33	-1,11	93,0	81,2	57,0	4,47	3,22	1,34	29,2	29,1	29,1
2017	3	2	8,89	3,44	-1,11	93,0	79,6	57,0	9,39	6,26	2,24	29,5	29,4	29,1
2017	3	3	6,11	2,5	-2,22	100,0	91	81,0	7,15	3,53	0	29,4	29,3	29,1
2017	3	4	7,22	5,28	3,89	100,0	95,5	93,0	8,05	3,84	0,45	29,1	29	28,9
2017	3	5	8,89	4,33	0	100,0	91,8	71,0	4,47	1,61	0	29,3	29	28,9
2017	3	6	10	4,94	0	100,0	87	62,0	3,58	1,65	0	29,7	29,5	29,3
2017	3	7	8,89	5,17	1,11	100,0	82,2	66,0	7,6	3,8	2,24	29,8	29,7	29,5
2017	3	8	11,11	7,5	5	93,0	78,9	58,0	12,96	7,11	1,34	29,6	29,5	29,4
2017	3	9	11,11	7,5	2,22	93,0	72,9	50,0	9,39	4,65	0,89	30,1	29,9	29,6
2017	3	10	10	6,17	1,11	100,0	87,5	76,0	3,58	2,15	0,45	30,1	30	29,9
2017	3	11	12,78	10,06	7,78	100,0	86,6	72,0	6,26	3,08	0,45	29,9	29,8	29,7
2017	3	12	12,22	8,83	5	100,0	87,3	71,0	5,81	3,31	0	30	29,8	29,6
2017	3	13	12,22	9,06	2,78	93,0	73,9	54,0	9,83	6,26	2,68	30,1	30,1	30
2017	3	14	12,22	10,22	6,11	94,0	71,3	54,0	12,52	9,43	5,36	30,2	30,1	29,9
2017	3	15	13,89	9,28	6,11	87,0	76,7	59,0	10,73	6,75	4,02	30,2	30,2	30
2017	3	16	12,22	8,33	2,78	93,0	76,7	61,0	11,62	7,29	4,02	30	29,8	29,7
2017	3	17	10	7,17	2,78	93,0	87,4	81,0	12,52	7,6	5,36	29,7	29,5	29,2
2017	3	18	11,11	8,28	5	100,0	89,2	71,0	9,39	3,44	0,45	29,5	29,4	29,3
2017	3	19	12,22	9,22	2,78	100,0	82,1	58,0	8,94	5,95	0,45	29,4	29,3	29,2
2017	3	20	8,89	5,89	2,78	87,0	78,6	62,0	11,62	6,97	1,34	29,3	29,2	29,1
2017	3	21	6,11	2,72	-2,78	93,0	81,9	57,0	12,52	6,93	0,89	29,5	29,3	29,2
2017	3	22	6,11	2,33	-2,78	93,0	85	70,0	10,28	5,72	0	29,9	29,7	29,5
2017	3	23	7,22	5,72	3,89	93,0	80,1	70,0	10,28	6,17	0,45	30,3	30,1	29,9
2017	3	24	12,22	4,83	-2,78	100,0	75,5	47,0	3,58	1,92	0	30,4	30,4	30,3
2017	3	25	16,11	8,11	0	87,0	58	31,0	4,47	2,55	0	30,4	30,3	30,2
2017	3	26	12,78	5,44	-2,22	100,0	80,1	44,0	6,26	2,24	0	30,2	30,2	30,2
2017	3	27	12,22	5,67	-1,11	100,0	84,4	44,0	6,71	2,91	0	30,2	30,1	30
2017	3	28	10	7	6,11	100,0	88,5	76,0	4,47	2,5	0	30	29,9	29,8
2017	3	29	12,78	9,11	7,22	100,0	92,6	82,0	6,26	3,04	0,89	29,8	29,8	29,7
2017	3	30	15	12,39	10	94,0	84,3	77,0	7,15	4,38	0,89	29,7	29,7	29,6
2017	3	31	15	12,39	10	94,0	79	55,0	12,52	5,86	0,45	29,6	29,4	29,3
2017	4	1	15	10,33	7,78	87,0	77	59,0	7,15	3,49	0,89	29,8	29,6	29,4
2017	4	2	13,89	8,5	2,22	93,0	70,8	48,0	6,26	3,71	1,34	30	30	29,8
2017	4	3	12,78	9,06	3,89	87,0	74	54,0	12,96	6,08	0,89	30	29,9	29,8
2017	4	4	12,22	9,39	6,11	94,0	69,5	51,0	10,28	6,04	2,68	30,2	30,1	29,9
2017	4	5	12,22	9,28	5	81,0	66,6	58,0	7,15	5,28	2,68	30,3	30,2	30,2
2017	4	6	12,78	9	2,78	93,0	78,1	63,0	8,05	5,14	2,24	30,3	30,2	30,1
2017	4	7	12,22	9,33	7,22	93,0	75,7	62,0	6,71	4,47	3,13	30,1	30,1	30,1
2017	4	8	16,11	10,33	3,89	87,0	66,1	48,0	5,81	3,58	1,34	30,1	30	29,9
2017	4	9	16,11	8,33	1,11	93,0	77,6	59,0	7,6	3,84	0	29,9	29,8	29,8
